sale_id,customer_id,product_id,quantity,sale_date
S00090,C084,P002,5,2025-05-16
S00091,C667,P007,5,2025-08-02
S00092,C633,P021,1,2025-09-12
S00093,C911,P021,5,2025-05-29
S00094,C658,P010,4,2025-05-06
S00095,C825,P022,4,2025-06-02
S00096,C465,P003,1,2025-03-22
S00097,C451,P014,4,2025-08-26
S00098,C209,P011,5,2025-03-15
S00099,C321,P001,3,2025-06-26
S00100,C999,P013,2,2025-07-09
S00101,C528,P018,1,2025-06-13
S00102,C248,P015,1,2025-05-17
S00103,C461,P008,2,2025-02-19
S00104,C052,P010,4,2025-11-12
S00105,C429,P008,2,2025-06-17
S00106,C957,P019,3,2025-04-08
S00107,C782,P006,4,2025-09-21
S00108,C479,P016,3,2025-09-12
S00109,C024,P003,4,2025-09-16
S00110,C469,P008,2,2025-10-26
S00111,C362,P002,1,2025-05-25
S00112,C507,P020,4,2025-05-27
S00113,C550,P001,1,2025-08-09
S00114,C138,P009,3,2025-07-26
S00115,C375,P002,4,2025-01-27
S00116,C584,P018,2,2025-07-05
S00117,C567,P010,1,2025-07-17
S00118,C517,P015,5,2025-05-24
S00119,C846,P020,5,2025-03-02
S00120,C132,P004,4,2025-07-11
S00121,C814,P011,5,2025-07-07
S00122,C774,P005,2,2025-11-05
S00123,C522,P013,5,2025-01-21
S00124,C047,P002,2,2025-06-20
S00125,C824,P016,5,2025-08-22
S00126,C153,P020,5,2025-03-13
S00127,C336,P020,3,2025-03-25
S00128,C403,P020,3,2025-10-31
S00129,C345,P017,5,2025-09-30
S00130,C502,P001,5,2025-06-03
S00131,C487,P001,3,2025-06-19
S00132,C690,P004,4,2025-10-26
S00133,C316,P001,1,2025-11-02
S00134,C486,P009,5,2025-10-23
S00135,C234,P002,5,2025-09-03
S00136,C175,P017,5,2025-07-14
S00137,C152,P022,2,2025-01-17
S00138,C587,P001,1,2025-04-08
S00139,C020,P015,3,2025-08-03
S00140,C156,P014,2,2025-07-30
S00141,C514,P020,4,2025-02-01
S00142,C723,P005,5,2025-04-17
S00143,C575,P011,4,2025-09-27
S00144,C386,P011,2,2025-08-24
S00145,C935,P018,3,2025-10-07
S00146,C363,P022,3,2025-11-09
S00147,C496,P007,2,2025-05-23
S00148,C572,P010,2,2025-06-02
S00149,C790,P010,2,2025-12-20
S00150,C722,P016,3,2025-09-03
S00151,C358,P018,3,2025-05-28
S00152,C125,P019,5,2025-07-14
S00153,C918,P013,3,2025-03-16
S00154,C298,P002,3,2025-02-10
S00155,C355,P015,3,2025-09-03
S00156,C220,P007,5,2025-05-19
S00157,C956,P018,3,2025-03-12
S00158,C112,P020,5,2025-05-03
S00159,C249,P002,5,2025-04-26
S00160,C654,P008,1,2025-02-21
S00161,C424,P011,4,2025-02-21
S00162,C698,P005,1,2025-10-09
S00163,,P006,4,2025-12-01
S00164,C958,P016,4,2025-11-30
S00165,C205,P010,3,2025-05-27
S00166,C662,P002,1,2025-11-30
S00167,C588,P008,5,2025-01-20
S00168,C936,P006,4,2025-04-01
S00169,C957,P002,4,2025-09-11
S00170,C191,P010,1,2025-01-05
S00171,C306,P019,5,2025-02-24
S00172,C951,P011,3,2025-08-21
S00173,C657,P018,5,2025-09-10
S00174,C911,P005,5,2025-08-28
S00175,C280,P007,1,2025-06-19
S00176,C167,P015,3,2025-04-06
S00177,C015,P011,3,2025-10-18
S00178,C691,P007,2,2025-11-09
S00179,C877,P021,4,2025-08-07
S00180,C528,P011,1,2025-07-25
S00181,C686,P004,2,2025-03-13
S00182,C489,P011,2,2025-01-04
S00183,C268,P013,2,2025-08-17
S00184,C772,P009,3,2025-06-04
S00185,C597,P019,1,2025-05-14
S00186,C670,P012,2,2025-02-01
S00187,C684,P004,4,2025-06-07
S00188,C164,P013,5,2025-12-27
S00189,C789,P010,1,2025-11-24
S00190,C939,P010,3,2025-11-11
S00191,C227,P008,2,2025-09-02
S00192,C157,P015,5,2025-07-11
S00193,C426,P001,5,2025-08-30
S00194,C776,P018,2,2025-05-07
S00195,C697,P020,1,2025-09-27
S00196,C458,P017,3,2025-02-09
S00197,C940,P019,1,2025-02-01
S00198,C849,P018,5,2025-04-14
S00199,C587,P018,2,2025-03-26
S00200,C336,P017,4,2025-03-01
S00201,C697,P007,5,2025-09-08
S00202,C094,P017,4,2025-01-29
S00203,C465,P005,5,2025-08-01
S00204,C468,P019,1,2025-10-14
S00205,C474,P022,3,2025-01-12
S00206,C406,P009,1,2025-04-22
S00207,C593,P003,1,2025-08-05
S00208,C353,P001,1,2025-10-05
S00209,C062,P003,4,2025-01-17
S00210,C294,P014,2,2025-03-11
S00211,C785,P021,4,2025-07-11
S00212,C913,P013,4,2025-07-13
S00213,C385,P003,5,2025-03-10
S00214,C670,P012,1,2025-04-02
S00215,C551,P013,5,2025-03-07
S00216,C746,P008,1,2025-01-12
S00217,,P010,4,2025-12-11
S00218,C737,P018,4,2025-09-30
S00219,C389,P008,2,2025-08-24
S00220,C355,P005,3,2025-04-07
S00221,C960,P004,1,2025-12-05
S00222,C430,P020,1,2025-05-04
S00223,C212,P003,1,2025-11-01
S00224,C035,P015,5,2025-12-11
S00225,C721,P002,2,2025-01-23
S00226,C412,P015,2,2025-10-04
S00227,C223,P002,2,2025-09-15
S00228,C297,P008,5,2025-06-13
S00229,C592,P020,3,2025-05-02
S00230,C310,P005,5,2025-04-24
S00231,C424,P010,3,2025-02-01
S00232,C571,P019,2,2025-11-17
S00233,C696,P014,5,2025-09-11
S00234,C049,P012,4,2025-09-26
S00235,C327,P001,4,2025-07-29
S00236,C153,P010,4,2025-04-05
S00237,C773,P018,4,2025-05-04
S00238,C870,P008,3,2025-12-29
S00239,C148,P015,1,2025-10-15
S00240,C423,P014,5,2025-09-29
S00241,C138,P013,2,2025-05-11
S00242,C209,P011,1,2025-08-19
S00243,C868,P012,1,2025-10-02
S00244,C742,P007,1,2025-05-18
S00245,C387,P022,5,2025-11-05
S00246,C041,P003,2,2025-10-28
S00247,C742,P022,5,2025-04-22
S00248,C491,P007,3,2025-06-05
S00249,C980,P001,2,2025-04-08
S00250,C986,P004,4,2025-05-05
S00251,C713,P020,2,2025-07-23
S00252,C938,P008,5,2025-06-14
S00253,C795,P010,4,2025-08-27
S00254,C547,P021,3,2025-06-07
S00255,C268,P012,5,2025-09-12
S00256,C478,P004,4,2025-06-13
S00257,C937,P007,3,2025-06-10
S00258,C424,P002,5,2025-04-24
S00259,C760,P005,1,2025-05-14
S00260,C567,P019,5,2025-08-02
S00261,C303,P005,2,2025-06-18
S00262,C236,P013,5,2025-05-06
S00263,C512,P018,3,2025-05-12
S00264,C782,P016,4,2025-08-24
S00265,C173,P012,2,2025-03-13
S00266,C738,P018,4,2025-04-05
S00267,C939,P018,1,2025-09-26
S00268,C035,P003,1,2025-01-04
S00269,C423,P005,2,2025-02-04
S00270,C725,P005,1,2025-04-22
S00271,C518,P015,3,2025-01-31
S00272,C633,P021,5,2025-09-05
S00273,C676,P016,1,2025-01-04
S00274,C545,P018,4,2025-01-07
S00275,C018,P017,3,2025-10-02
S00276,C9999,P010,1,2025-09-15
S00277,C833,P001,4,2025-04-02
S00278,C110,P004,5,2025-03-18
S00279,C247,P007,5,2025-09-27
S00280,C259,P012,3,2025-07-23
S00281,C081,P012,4,2025-08-24
S00282,C579,P008,2,2025-06-03
S00283,C701,P003,1,2025-02-17
S00284,C416,P013,4,2025-10-10
S00285,C488,P002,1,2025-12-26
S00286,C176,P003,4,2025-08-11
S00287,C661,P011,5,2025-02-18
S00288,C917,P017,1,2025-04-28
S00289,C217,P001,5,2025-09-01
S00290,C278,P002,1,2025-12-17
S00291,C948,P009,5,2025-10-16
S00292,C674,P002,2,2025-06-11
S00293,C017,P007,5,2025-03-15
S00294,C771,P001,4,2025-02-09
S00295,C307,P006,5,2025-05-04
S00296,C581,P013,5,2025-06-19
S00297,C394,P005,1,2025-09-14
S00298,C764,P012,1,2025-02-20
S00299,C448,P008,1,2025-06-24
S00300,C620,P020,5,2025-07-23
S00301,C993,P011,1,2025-11-21
S00302,C280,P015,4,2025-04-27
S00303,C365,P018,4,2025-08-10
S00304,C191,P022,5,2025-12-05
S00305,C390,P003,5,2025-06-01
S00306,C818,P008,1,2025-02-12
S00307,C275,P005,4,2025-12-31
S00308,C803,P021,2,2025-07-19
S00309,C325,P012,1,2025-02-16
S00310,C006,P010,4,2025-07-04
S00311,C780,P009,1,2025-03-09
S00312,C090,P006,4,2025-08-18
S00313,C571,P018,5,2025-07-28
S00314,C106,P001,1,2025-07-01
S00315,C568,P003,5,2025-11-03
S00316,C804,P011,4,2025-01-07
S00317,C299,P014,4,2025-02-13
S00318,C743,P018,2,2025-10-20
S00319,C534,P006,4,2025-03-28
S00320,C143,P009,3,2025-05-18
S00321,C505,P005,1,2025-03-27
S00322,C446,P009,4,2025-06-03
S00323,C496,P003,3,2025-05-09
S00324,C967,P008,4,2025-11-01
S00325,C632,P007,4,2025-02-24
S00326,C139,P010,1,2025-07-22
S00327,C341,P020,4,2025-06-18
S00328,C451,P011,4,2025-11-30
S00329,C998,P020,2,2025-06-03
S00330,C329,P020,2,2025-09-03
S00331,C322,P006,4,2025-06-13
S00332,C299,P001,4,2025-10-22
S00333,C801,P008,3,2025-07-12
S00334,C288,P013,3,2025-02-28
S00335,C955,P019,2,2025-10-31
S00336,C559,P006,5,2025-01-14
S00337,C976,P015,2,2025-08-13
S00338,C817,P010,1,2025-07-29
S00339,C690,P016,2,2025-11-21
S00340,C311,P008,3,2025-12-04
S00341,C158,P001,4,2025-07-13
S00342,C076,P015,5,2025-09-03
S00343,C597,P013,5,2025-09-17
S00344,C946,P001,4,2025-10-06
S00345,C038,P012,5,2025-11-01
S00346,C654,P003,1,2025-05-08
S00347,C674,P022,3,2025-03-27
S00348,C663,P020,1,2025-10-16
S00349,C661,P022,4,2025-06-19
S00350,C989,P014,1,2025-01-06
S00351,C101,P009,2,2025-09-19
S00352,C765,P017,5,2025-10-25
S00353,C705,P019,2,2025-08-17
S00354,C384,P013,4,2025-12-14
S00355,C603,P001,5,2025-03-19
S00356,C354,P001,4,2025-02-23
S00357,C303,P014,1,2025-03-01
S00358,C852,P005,3,2025-06-09
S00359,C352,P015,2,2025-09-24
S00360,C495,P012,4,2025-02-19
S00361,C449,P001,4,2025-06-13
S00362,C069,P010,1,2025-12-30
S00363,C118,P001,3,2025-11-28
S00364,C112,P022,2,2025-05-05
S00365,C529,P006,5,2025-03-23
S00366,C339,P018,4,2025-08-25
S00367,C238,P013,2,2025-04-06
S00368,C656,P022,4,2025-07-22
S00369,C030,P020,2,2025-08-19
S00370,C607,P014,4,2025-01-03
S00371,C722,P007,2,2025-05-23
S00372,C771,P001,1,2025-10-23
S00373,C105,P018,2,2025-07-07
S00374,C334,P007,4,2025-02-28
S00375,C269,P022,4,2025-09-28
S00376,C990,P021,3,2025-11-02
S00377,C398,P020,4,2025-10-28
S00378,C117,P012,3,2025-08-23
S00379,C633,P006,3,2025-11-11
S00380,C605,P003,2,2025-06-10
S00381,C121,P008,3,2025-03-01
S00382,C188,P012,2,2025-09-19
S00383,C398,P014,5,2025-03-12
S00384,C589,P013,4,2025-04-06
S00385,C499,P021,5,2025-12-22
S00386,C942,P021,2,2025-10-12
S00387,C171,P016,3,2025-03-13
S00388,C192,P011,4,2025-11-14
S00389,C055,P012,1,2025-09-06
S00390,C140,P007,4,2025-10-15
S00391,C518,P021,4,2025-07-29
S00392,C702,P016,4,2025-12-30
S00393,C861,P015,4,2025-03-27
S00394,C085,P019,1,2025-04-23
S00395,C300,P002,3,2025-04-26
S00396,C551,P010,2,2025-08-23
S00397,C580,P016,5,2025-09-19
S00398,C116,P019,1,2025-05-18
S00399,C794,P018,3,2025-10-05
S00400,C843,P002,4,2025-10-07
S00401,C224,P014,1,2025-12-01
S00402,C770,P008,3,2025-01-17
S00403,C461,P009,3,2025-02-14
S00404,C450,P004,2,2025-04-18
S00405,C831,P019,3,2025-12-30
S00406,C625,P021,4,2025-03-26
S00407,C631,P005,2,2025-04-16
S00408,C825,P002,5,2025-06-29
S00409,C546,P009,5,2025-10-03
S00410,C173,P011,3,2025-05-29
S00411,C587,P009,5,2025-12-14
S00412,C835,P004,2,2025-07-30
S00413,C941,P002,3,2025-12-02
S00414,C130,P001,2,2025-05-08
S00415,C150,P001,3,2025-05-07
S00416,C780,P022,4,2025-09-08
S00417,C146,P019,3,2025-11-18
S00418,C425,P013,4,2025-02-08
S00419,C649,P003,4,2025-09-21
S00420,C768,P009,3,2025-08-21
S00421,C974,P016,3,2025-10-25
S00422,C003,P003,4,2025-11-22
S00423,C681,P001,3,2025-02-02
S00424,C815,P018,4,2025-04-22
S00425,C992,P014,2,2025-09-11
S00426,C275,P011,3,2025-06-22
S00427,C561,P019,2,2025-10-17
S00428,C873,P016,3,2025-12-16
S00429,C781,P002,1,2025-02-20
S00430,C642,P015,1,2025-03-05
S00431,C952,P006,4,2025-08-22
S00432,C001,P014,2,2025-12-19
S00433,C932,P005,3,2025-03-23
S00434,C896,P009,1,2025-12-02
S00435,C370,P009,1,2025-07-10
S00436,C681,P021,2,2025-01-27
S00437,C406,P021,3,2025-12-25
S00438,C774,P008,4,2025-12-02
S00439,C094,P001,1,2025-01-01
S00440,C219,P016,1,2025-03-09
S00441,C608,P008,5,2025-12-15
S00442,C456,P001,1,2025-12-23
S00443,C352,P004,4,2025-12-22
S00444,C136,P016,1,2025-04-28
S00445,C393,P003,1,2025-02-22
S00446,C321,P012,3,2025-03-12
S00447,C392,P005,2,2025-02-05
S00448,C544,P019,1,2025-11-09
S00449,C666,P006,4,2025-06-29
S00450,C740,P007,2,2025-07-30
S00451,C631,P022,4,2025-04-22
S00452,C089,P004,2,2025-03-05
S00453,C604,P013,3,2025-08-08
S00454,C323,P005,2,2025-05-22
S00455,C661,P003,2,2025-10-11
S00456,C616,P020,5,2025-05-26
S00457,C798,P001,1,2025-12-04
S00458,C897,P010,2,2025-09-23
S00459,C622,P017,2,2025-07-20
S00460,C303,P021,1,2025-05-03
S00461,C507,P013,1,2025-05-04
S00462,C512,P021,5,2025-02-06
S00463,C541,P001,3,2025-06-12
S00464,C136,P013,5,2025-08-04
S00465,C375,P018,2,2025-08-30
S00466,C978,P003,1,2025-10-28
S00467,C070,P001,3,2025-04-21
S00468,C041,P002,4,2025-09-17
S00469,C294,P021,5,2025-08-01
S00470,C434,P001,4,2025-02-12
S00471,C656,P018,5,2025-11-12
S00472,C157,P009,1,2025-06-08
S00473,C081,P017,2,2025-03-21
S00474,C550,P011,4,2025-10-28
S00475,C650,P021,1,2025-06-08
S00476,C716,P014,2,2025-01-30
S00477,C251,P003,4,2025-03-01
S00478,C465,P020,5,2025-01-29
S00479,C317,P022,2,2025-03-03
S00480,C013,P001,2,2025-12-26
S00481,C012,P006,4,2025-06-27
S00482,C536,P017,3,2025-03-27
S00483,C381,P005,3,2025-03-02
S00484,C790,P001,3,2025-08-08
S00485,C279,P017,1,2025-05-15
S00486,C730,P019,1,2025-09-12
S00487,C467,P017,3,2025-01-29
S00488,C512,P019,2,2025-07-08
S00489,C162,P009,1,2025-10-21
S00490,C691,P004,2,2025-09-18
S00491,C003,P002,1,2025-05-06
S00492,C048,P016,3,2025-07-16
S00493,C943,P005,2,2025-01-19
S00494,C567,P001,4,2025-04-25
S00495,C330,P008,4,2025-06-13
S00496,C278,P003,5,2025-07-10
S00497,C123,P017,1,2025-04-02
S00498,C229,P017,1,2025-07-25
S00499,C071,P015,3,2025-06-09
S00500,C336,P003,5,2025-08-22
S00501,C009,P012,2,2025-05-30
S00502,C578,P010,5,2025-05-05
S00503,C476,P012,5,2025-09-10
S00504,C792,P007,5,2025-05-06
S00505,C155,P001,4,2025-01-13
S00506,C239,P018,3,2025-11-22
S00507,C860,P001,1,2025-06-21
S00508,C002,P022,4,2025-06-07
S00509,C107,P007,5,2025-05-02
S00510,C430,P016,1,2025-03-14
S00511,C729,P009,1,2025-01-23
S00512,C944,P008,5,2025-07-31
S00513,C718,P012,4,2025-02-13
S00514,C595,P004,5,2025-03-10
S00515,C653,P013,1,2025-10-31
S00516,C582,P002,4,2025-12-06
S00517,C988,P005,2,2025-05-30
S00518,C268,P011,4,2025-12-25
S00519,C852,P011,3,2025-08-20
S00520,C279,P008,1,2025-04-14
S00521,C140,P019,1,2025-03-21
S00522,C109,P006,4,2025-08-27
S00523,C322,P014,1,2025-10-02
S00524,C367,P007,4,2025-06-07
S00525,C475,P009,1,2025-02-16
S00526,C162,P022,3,2025-12-27
S00527,C714,P020,1,2025-04-21
S00528,C856,P011,2,2025-02-16
S00529,C729,P008,3,2025-07-22
S00530,C526,P002,3,2025-05-14
S00531,C840,P006,1,2025-07-27
S00532,C876,P015,5,2025-10-09
S00533,C256,P004,4,2025-02-22
S00534,C824,P005,1,2025-01-07
S00535,C064,P008,2,2025-04-12
S00536,C844,P013,3,2025-12-18
S00537,C646,P021,1,2025-10-26
S00538,C601,P009,1,2025-01-12
S00539,C067,P007,4,2025-03-07
S00540,C095,P011,1,2025-01-22
S00541,C965,P015,1,2025-03-28
S00542,C947,P019,4,2025-07-22
S00543,C509,P001,4,2025-12-16
S00544,C437,P006,3,2025-04-20
S00545,C931,P006,3,2025-05-24
S00546,C457,P005,1,2025-11-11
S00547,C635,P020,2,2025-11-28
S00548,C303,P016,4,2025-10-09
S00549,C491,P002,1,2025-05-24
S00550,C393,P005,4,2025-04-13
S00551,C659,P017,2,2025-11-19
S00552,C822,P018,1,2025-07-15
S00553,C801,P001,3,2025-09-03
S00554,C558,P016,3,2025-10-17
S00555,C515,P011,4,2025-05-19
S00556,C185,P001,3,2025-11-02
S00557,C225,P001,3,2025-01-30
S00558,C829,P016,5,2025-07-03
S00559,C786,P019,2,2025-03-23
S00560,C103,P008,2,2025-05-17
S00561,C547,P002,2,2025-10-22
S00562,C867,P013,3,2025-03-30
S00563,C181,P008,5,2025-06-12
S00564,C826,P001,3,2025-10-30
S00565,C029,P001,3,2025-10-18
S00566,C578,P005,5,2025-04-07
S00567,C857,P016,5,2025-06-08
S00568,C180,P016,1,2025-02-16
S00569,C058,P008,5,2025-04-23
S00570,C021,P017,4,2025-01-01
S00571,C340,P020,2,2025-03-08
S00572,C349,P001,2,2025-06-15
S00573,C061,P001,2,2025-10-28
S00574,C722,P005,1,2025-09-27
S00575,C882,P012,1,2025-07-11
S00576,C722,P022,4,2025-10-28
S00577,C104,P011,3,2025-06-15
S00578,C140,P006,4,2025-11-24
S00579,C984,P016,3,2025-03-31
S00580,C725,P018,5,2025-07-02
S00581,C229,P022,5,2025-03-31
S00582,C388,P010,3,2025-03-07
S00583,C182,P001,5,2025-07-20
S00584,C872,P019,1,2025-04-04
S00585,C617,P011,5,2025-04-24
S00586,C655,P019,1,2025-09-12
S00587,C145,P011,1,2025-05-02
S00588,C356,P011,2,2025-11-22
S00589,C907,P003,3,2025-08-17
S00590,C012,P009,2,2025-05-08
S00591,C710,P003,3,2025-05-12
S00592,C806,P004,1,2025-01-25
S00593,C396,P015,4,2025-03-27
S00594,C906,P014,4,2025-07-13
S00595,C360,P018,4,2025-02-21
S00596,C849,P016,5,2025-11-30
S00597,C777,P022,2,2025-03-25
S00598,C463,P003,1,2025-05-31
S00599,C021,P011,3,2025-02-23
S00600,C076,P011,2,2025-07-12
S00601,C165,P003,5,2025-02-17
S00602,C347,P020,5,2025-09-05
S00603,C722,P001,4,2025-12-01
S00604,C169,P020,4,2025-03-22
S00605,C055,P004,3,2025-04-16
S00606,C998,P007,4,2025-12-23
S00607,C568,P018,3,2025-12-05
S00608,C289,P010,2,2025-02-19
S00609,C051,P013,5,2025-10-09
S00610,C861,P016,2,2025-01-28
S00611,C370,P001,4,2025-02-14
S00612,C302,P022,5,2025-09-03
S00613,C205,P004,1,2025-04-16
S00614,C175,P021,3,2025-02-11
S00615,C485,P004,3,2025-07-23
S00616,C483,P016,3,2025-02-16
S00617,C658,P018,4,2025-04-05
S00618,C380,P013,3,2025-04-06
S00619,C457,P002,3,2025-08-14
S00620,C477,P009,2,2025-05-18
S00621,C578,P002,2,2025-12-23
S00622,C684,P004,1,2025-12-09
S00623,C353,P018,4,2025-10-29
S00624,C233,P018,1,2025-07-18
S00625,C839,P017,4,2025-10-02
S00626,C704,P016,5,2025-05-01
S00627,C488,P010,1,2025-07-22
S00628,C925,P001,1,2025-09-15
S00629,C585,P017,5,2025-12-13
S00630,C636,P005,1,2025-08-18
S00631,C178,P006,2,2025-04-09
S00632,C130,P002,4,2025-02-10
S00633,C700,P014,2,2025-11-18
S00634,C152,P020,3,2025-06-13
S00635,C933,P003,1,2025-07-18
S00636,C570,P013,5,2025-06-16
S00637,C878,P009,5,2025-08-23
S00638,C940,P001,5,2025-10-28
S00639,C536,P014,1,2025-08-01
S00640,C154,P005,5,2025-10-29
S00641,C597,P004,1,2025-10-16
S00642,C799,P004,3,2025-10-02
S00643,C902,P012,4,2025-05-16
S00644,C393,P021,4,2025-10-20
S00645,C624,P016,1,2025-03-30
S00646,C283,P013,2,2025-11-13
S00647,C624,P022,4,2025-01-20
S00648,C406,P011,2,2025-01-26
S00649,C764,P016,3,2025-07-10
S00650,C021,P011,3,2025-06-09
S00651,C288,P016,1,2025-04-27
S00652,C138,P010,4,2025-06-14
S00653,C276,P014,5,2025-11-27
S00654,C092,P007,4,2025-04-19
S00655,C936,P014,4,2025-09-22
S00656,C889,P012,1,2025-09-21
S00657,C811,P006,1,2025-06-09
S00658,C727,P017,4,2025-03-11
S00659,C800,P017,5,2025-01-15
S00660,C178,P007,2,2025-01-30
S00661,C256,P002,4,2025-01-26
S00662,C941,P012,2,2025-05-21
S00663,C378,P015,5,2025-07-23
S00664,C651,P004,1,2025-05-04
S00665,C382,P016,5,2025-08-17
S00666,C182,P016,5,2025-10-10
S00667,C359,P012,2,2025-05-13
S00668,C767,P001,1,2025-05-26
S00669,C029,P013,1,2025-03-25
S00670,C875,P019,2,2025-04-24
S00671,C663,P008,2,2025-05-18
S00672,C668,P014,5,2025-01-11
S00673,C886,P022,1,2025-08-31
S00674,C934,P005,2,2025-11-04
S00675,C821,P001,2,2025-05-10
S00676,C623,P010,3,2025-08-05
S00677,C917,P013,3,2025-08-24
S00678,C259,P007,4,2025-06-04
S00679,C694,P017,5,2025-07-23
S00680,C599,P004,1,2025-09-19
S00681,C679,P012,5,2025-11-28
S00682,C609,P020,3,2025-06-02
S00683,C701,P004,4,2025-02-02
S00684,C345,P009,3,2025-05-22
S00685,C268,P021,3,2025-04-07
S00686,C154,P017,2,2025-01-30
S00687,C825,P020,4,2025-12-05
S00688,C328,P022,2,2025-01-14
S00689,C672,P016,3,2025-05-13
S00690,C929,P014,4,2025-07-18
S00691,C755,P002,5,2025-12-29
S00692,C586,P007,3,2025-04-24
S00693,C703,P018,4,2025-12-10
S00694,C368,P017,3,2025-03-29
S00695,C861,P022,5,2025-04-03
S00696,C301,P004,4,2025-03-07
S00697,C759,P009,5,2025-04-04
S00698,C970,P022,3,2025-12-02
S00699,C092,P008,3,2025-04-25
S00700,C763,P010,4,2025-06-19
S00701,C381,P009,5,2025-05-31
S00702,C475,P004,4,2025-01-28
S00703,C888,P021,5,2025-10-25
S00704,C967,P020,1,2025-08-30
S00705,C911,P007,5,2025-03-03
S00706,C889,P022,4,2025-09-29
S00707,C306,P014,1,2025-03-19
S00708,C141,P007,3,2025-07-29
S00709,C584,P015,2,2025-06-11
S00710,C884,P001,2,2025-02-11
S00711,C500,P011,2,2025-06-10
S00712,C650,P002,1,2025-08-20
S00713,C281,P007,2,2025-10-23
S00714,C783,P006,4,2025-02-15
S00715,C133,P020,4,2025-11-21
S00716,C440,P013,4,2025-09-02
S00717,C393,P001,1,2025-10-01
S00718,C205,P012,1,2025-06-14
S00719,C776,P017,2,2025-01-10
S00720,C693,P001,2,2025-04-26
S00721,C711,P012,3,2025-03-08
S00722,C106,P013,5,2025-10-29
S00723,C314,P006,1,2025-01-24
S00724,C306,P010,4,2025-09-24
S00725,C611,P017,3,2025-08-11
S00726,C910,P022,2,2025-06-25
S00727,C924,P016,3,2025-04-07
S00728,C169,P013,1,2025-04-27
S00729,C230,P005,2,2025-01-12
S00730,C604,P017,2,2025-03-05
S00731,C376,P001,1,2025-07-12
S00732,C898,P021,3,2025-10-01
S00733,C639,P002,5,2025-01-25
S00734,C678,P004,1,2025-01-25
